County,STATE,ZCTA5CE10,INTPTLAT10,INTPTLON10,BUI,PctPark,fips,popDens,propPOC,POC,Race,medAge,totPop,Urban,Covid19,NDVI,propWht,medInc,Arid,Days
Schuylkill,Pennsylvania,17934,+40.7964388,-076.2113332,11173,0.0940355046,42107,1.68501345767e-4,0.009685230024213,White majority,White,51.4,413,Urban,484.26150121065376,0.59,0.990314769975787,41750,1.0546,214
Schuylkill,Pennsylvania,17935,+40.7961401,-076.2796822,7875,0.8422419402,42107,1.32176694301e-4,0.091091761553918,White majority,White,43.3,1493,Urban,669.7923643670462,0.753,0.908908238446082,35526,1.0218,214
Schuylkill,Pennsylvania,17938,+40.6530701,-076.5170831,1113,1.1763973208,42107,2.2983611817e-5,0.008481764206955,White majority,White,39.9,2358,Rural,720.949957591179,0.795,0.991518235793045,63333,0.9849,214
Schuylkill,Pennsylvania,17941,+40.6857220,-076.6091837,551,1.3040716005,42107,1.2642077274e-5,0.033415841584158,White majority,White,40.6,808,Rural,1485.148514851485,0.775,0.966584158415842,53250,0.9323,214
Will,Illinois,60423,+41.4773492,-087.8324186,17603,11.125365361,17197,3.27587239824e-4,0.145064322192773,White majority,White,42.8,30938,Urban,1661.3872907104533,0.683,0.854935677807227,108295,0.8482,220
Grundy,Illinois,60424,+41.1641482,-088.3277155,203,0.0258584861,17063,1.8449402353e-5,0.079513184584179,White majority,White,44.9,2465,Rural,892.4949290060852,0.825,0.920486815415821,62237,0.771,212
Cook,Illinois,60425,+41.5455080,-087.6116986,18331,22.130749443,17031,7.14748185601e-4,0.807899461400359,POC majority,Black,40.8,8912,Urban,3063.2854578096944,0.656,0.192100538599641,63444,0.834,272
Duval,Florida,32257,+30.1893554,-081.6124664,46316,1.4859762285,12031,0.001219110541037,0.294714237665261,White majority,White,39.9,38651,Urban,2670.047346769812,0.561,0.705285762334739,58246,0.7727,224
Duval,Florida,32258,+30.1407122,-081.5517117,37805,10.652900021,12031,6.57374526694e-4,0.32772741481713,White majority,White,37,31990,Urban,2297.592997811816,0.597,0.67227258518287,80207,0.7702,224
St. Johns,Florida,32259,+30.0757165,-081.5861272,22134,2.6312396241,12109,3.52478035072e-4,0.179811483119534,White majority,White,39.5,49969,Rural,1995.237046969121,0.647,0.820188516880466,114033,0.7789,225
Duval,Florida,32266,+30.3173856,-081.4090664,57852,2.244435058,12031,0.001169661363211,0.093220338983051,White majority,White,40.6,7080,Urban,2853.107344632768,0.476,0.906779661016949,89500,0.7601,224
Duval,Florida,32277,+30.3774496,-081.5939474,44105,5.5261676467,12031,0.001726606341193,0.549564457210653,POC majority,Mixed,32.7,32029,Urban,2594.5237128851977,0.548,0.450435542789347,49474,0.7823,224
Leon,Florida,32301,+30.4222341,-084.2585734,100767,4.1719940538,12073,0.001146988615227,0.578991924980464,POC majority,Mixed,27.9,30712,Urban,3291.872883563428,0.619,0.421008075019536,42165,0.9527,218
Leon,Florida,32303,+30.5155180,-084.3416409,29646,4.8786841195,12073,5.48737009465e-4,0.450888254421445,White majority,White,29.8,50436,Urban,2682.607661194385,0.692,0.549111745578555,48338,0.9526,218
Leon,Florida,32304,+30.4519713,-084.3527721,65363,5.2794419289,12073,0.001177909693541,0.509699290602047,POC majority,Mixed,21.8,47787,Urban,6344.821813463914,0.631,0.490300709397953,23438,0.9614,218
Leon,Florida,32305,+30.3498340,-084.2793480,3928,17.613541532,12073,8.9017830329e-5,0.633476934992013,POC majority,Black,34.4,20659,Rural,2739.72602739726,0.675,0.366523065007987,39723,0.9617,218
Leon,Florida,32308,+30.4774793,-084.2269957,54698,3.6382899822,12073,5.86838929515e-4,0.335992157212245,White majority,White,42.6,22441,Urban,3502.5177131143887,0.659,0.664007842787755,61260,0.9483,218
Leon,Florida,32309,+30.5668301,-084.0976491,7222,1.6187874847,12073,1.09872776293e-4,0.260930085416008,White majority,White,42.4,31610,Rural,0,0.739,0.739069914583992,80544,0.9134,218
Leon,Florida,32310,+30.3854356,-084.5121811,3702,32.370708046,12073,5.807176674e-5,0.604576399394856,POC majority,Black,31.1,15864,Rural,4116.238023197176,0.694,0.395423600605144,36653,0.9688,218
Leon,Florida,32311,+30.3900500,-084.1810353,11283,7.0076268032,12073,1.82050168381e-4,0.437256393193269,White majority,White,35.8,21038,Rural,2395.66498716608,0.715,0.562743606806731,73731,0.9455,218
Leon,Florida,32312,+30.6052833,-084.2295624,8063,2.1141294546,12073,1.21680287023e-4,0.242545034079844,White majority,White,42.4,32864,Urban,2129.990262901655,0.728,0.757454965920156,97594,0.9246,218
Leon,Florida,32317,+30.4704805,-084.1166942,8634,9.3594181849999991,12073,1.48025624331e-4,0.259188544152745,White majority,White,43.7,14665,Rural,2291.169451073986,0.726,0.740811455847255,92598,0.9259,218
Franklin,Florida,32320,+29.7317338,-085.1118722,1523,3.5627225006,12037,3.7076144299e-5,0.293058455114823,White majority,White,42.1,3832,Rural,3157.6200417536534,0.655,0.706941544885177,49167,0.931,202
Liberty,Florida,32321,+30.2654400,-084.9796655,223,9.6297494248,12077,5.959644027e-6,0.301736498327226,White majority,White,40.2,6277,Rural,7057.5115501035525,0.681,0.698263501672774,34792,0.9582,195
Franklin,Florida,32323,+29.8915110,-084.6137326,1245,1.6699848202,12037,2.1092412005e-5,0.0260663507109,White majority,White,51.7,422,Rural,473.93364928909955,0.688,0.9739336492891,42554,0.9364,202
Gadsden,Florida,32324,+30.6547116,-084.7832539,1111,3.2986483251,12039,2.6084465517e-5,0.575116377486246,POC majority,Black,45.1,4726,Rural,11087.60050782903,0.737,0.424883622513754,32614,0.9065,211
Wakulla,Florida,32327,+30.1822613,-084.3053266,2192,25.819802808,12129,4.7293263367e-5,0.215085278434973,White majority,White,40.5,28319,Urban,7.062396271054769,0.694,0.784914721565027,64221,0.9575,207
Oklahoma,Oklahoma,73049,+35.5872120,-097.3139520,1670,0.1717879946,40109,3.6845286215e-5,0.223796517582793,White majority,White,38.5,5858,Rural,1553.4312051894844,0.69,0.776203482417207,64632,0.5363,223
Calhoun,Arkansas,71744,+33.4968029,-092.4801628,0,1.8369102183,5013,2.65480891e-6,0.223032069970845,White majority,White,45.9,2744,Rural,1494.1690962099126,0.74,0.776967930029155,43788,0.8879,112
Calhoun,Arkansas,71745,+33.5008183,-092.3960994,0,0,5013,1.00375367936e-4,0.680306905370844,POC majority,Black,49.9,391,Rural,1278.772378516624,0.703,0.319693094629156,29737,0.9047,112
Cleveland,Oklahoma,73051,+35.0318072,-097.2463633,832,0.2422543056,40027,3.1304616475e-5,0.239253774401385,White majority,White,41.1,10399,Rural,3894.605250504856,0.701,0.760746225598615,51031,0.5555,221
Union,Arkansas,71747,+33.0607281,-092.2028798,211,0.2608177249,5139,5.243268755e-6,0.484375,White majority,White,37.8,1088,Rural,2113.970588235294,0.748,0.515625,39792,0.9217,212
Union,Arkansas,71749,+33.0718810,-092.8185790,196,0,5139,5.826800698e-6,0.397914159647012,White majority,White,43.9,2493,Rural,2446.8511833132775,0.757,0.602085840352988,47393,0.8694,212
Ouachita,Arkansas,71751,+33.4114840,-092.7602598,197,0,5103,5.836018135e-6,0.144182124789207,White majority,White,55.6,1186,Rural,421.58516020236084,0.749,0.855817875210793,47361,0.8681,203
Garvin,Oklahoma,73052,+34.8335353,-097.5890448,454,0.4784058639,40049,1.2509996585e-5,0.180128877566312,White majority,White,40.8,6673,Rural,1468.6048254158547,0.656,0.819871122433688,49798,0.5084,216
Columbia,Arkansas,71752,+33.3914160,-093.1917678,261,0.0488001278,5027,8.580708038e-6,0.604733727810651,POC majority,Black,44.8,845,Rural,2721.8934911242604,0.763,0.395266272189349,28304,0.8856,212
Caddo,Oklahoma,73053,+35.3559081,-098.4121454,131,0,40015,3.887717181e-6,0.282694848084544,White majority,White,38.2,757,Rural,2113.6063408190225,0.629,0.717305151915456,43906,0.4091,209
Oklahoma,Oklahoma,73054,+35.6715554,-097.1903090,702,0.2946708703,40109,1.804147051e-5,0.173261531257317,White majority,White,43.4,4271,Rural,1357.9957855303207,0.69,0.826738468742683,58585,0.5342,223
Columbia,Arkansas,71753,+33.2256783,-093.1846743,596,0.7104215723,5027,2.0493751386e-5,0.452431664891729,White majority,White,33.7,16902,Rural,1857.7683114424328,0.756,0.547568335108271,36191,0.8677,212
Union,Arkansas,71758,+33.3092891,-092.9149476,104,0,5139,2.128907009e-6,0.22976501305483,White majority,White,61.2,383,Rural,1305.4830287206266,0.759,0.77023498694517,35667,0.8572,212
Union,Arkansas,71759,+33.3209788,-092.6441721,1360,0,5139,3.2578669403e-5,0.0187265917603,White majority,White,40.5,534,Rural,936.3295880149813,0.736,0.9812734082397,41192,0.8671,212
Stephens,Oklahoma,73055,+34.6438239,-097.9107157,585,0.9608209659,40137,1.5307212023e-5,0.165537173609727,White majority,White,43.7,10034,Rural,767.3908710384692,0.643,0.834462826390273,53888,0.4664,211
Union,Arkansas,71762,+33.3429173,-092.7683568,816,0,5139,1.4788387731e-5,0.282320694380996,White majority,White,40.2,2189,Rural,1918.6843307446325,0.745,0.717679305619004,36008,0.8586,212
Garfield,Oklahoma,73056,+36.1769382,-097.6262087,72,0,40047,1.179618976e-6,0.049132947976879,White majority,White,47.7,346,Rural,1156.0693641618498,0.647,0.950867052023121,63625,0.49,207
Dallas,Arkansas,71763,+33.9164570,-092.8053397,68,1.63018e-4,5039,2.747863827e-6,0.232543640897756,White majority,White,54.1,1604,Rural,1371.571072319202,0.758,0.767456359102244,40541,0.8933,201
Garvin,Oklahoma,73057,+34.8310114,-097.4286119,343,0,40049,1.0038629853e-5,0.152497808939527,White majority,White,41.3,2282,Rural,1840.4907975460123,0.672,0.847502191060473,43221,0.5354,216
Ouachita,Arkansas,71764,+33.4318822,-093.0489474,150,0.2021236826,5103,3.73302975e-6,0.551158846806105,POC majority,Black,49.1,1769,Rural,1413.2278123233466,0.76,0.448841153193895,36250,0.8757,203
Grady,Oklahoma,73059,+35.3117046,-098.0463895,247,0.005626236,40051,6.708269424e-6,0.145061728395062,White majority,White,41.7,2916,Rural,1200.2743484224966,0.646,0.854938271604938,55952,0.4517,217
Union,Arkansas,71765,+33.1418822,-092.3317948,163,0,5139,3.403556625e-6,0.536613272311213,POC majority,Mixed,51.3,1748,Rural,3032.036613272311,0.75,0.463386727688787,28438,0.9023,212
Noble,Oklahoma,73061,+36.3551321,-097.0055575,176,0,40103,5.699259105e-6,0.156720916214587,White majority,White,33.6,1659,Rural,1386.3773357444243,0.659,0.843279083785413,66645,0.5279,214
Calhoun,Arkansas,71766,+33.7251307,-092.5066532,0,5.57563e-5,5013,4.239044694e-6,0.382022471910112,White majority,White,50.2,801,Rural,624.2197253433208,0.74,0.617977528089888,38750,0.9041,112
Columbia,Arkansas,71770,+33.3880921,-093.3174271,243,0.077414075,5027,9.386551923e-6,0.311333890281259,White majority,White,38.8,3591,Rural,1893.622946254525,0.753,0.688666109718741,38100,0.8795,212
Kiowa,Oklahoma,73062,+35.0462469,-098.7409218,78,0.0810975104,40075,1.99118801e-6,0.249228395061728,White majority,White,47.7,1296,Rural,1234.567901234568,0.605,0.750771604938272,34647,0.3901,203
Logan,Oklahoma,73063,+36.0527067,-097.4250085,102,0,40083,2.241147854e-6,0.149277688603531,White majority,White,43.8,623,Rural,802.5682182985553,0.64,0.850722311396469,45833,0.5117,217
Baltimore,Maryland,21214,+39.3517934,-076.5643999,102124,9.8729530192,24005,0.002864498933844,0.625442697265902,POC majority,Black,40,21177,Urban,1945.5069178826084,0.571,0.374557302734098,68554,0.8481,225
Sussex,New Jersey,07860,+41.0568623,-074.8185953,4093,14.58646675,34037,9.7259238485e-5,0.139272369714848,White majority,White,45.5,25425,Urban,1090.37856,0.795,0.860727630285152,84000,1.0458,217
Baltimore,Maryland,21215,+39.3452409,-076.6835656,102032,7.4249320847,24005,0.003312236676674,0.845264166438544,POC majority,Black,42.8,58448,Urban,2739.1869696140157,0.501,0.154735833561456,37517,0.8717,225
Morris,New Jersey,07866,+40.9548625,-074.4890758,14017,13.500289883,34027,3.97647880825e-4,0.2354693180325,White majority,White,43.6,22831,Rural,1276.73156,0.753,0.7645306819675,105733,1.1787,224
Baltimore,Maryland,21216,+39.3105945,-076.6717168,127222,17.996864433,24005,0.003637107692849,0.984144671909325,POC majority,Black,36.7,31409,Urban,2136.3303511732306,0.548,0.015855328090675,39846,0.8483,225
Morris,New Jersey,07869,+40.8416908,-074.5783300,22670,15.234070394,34027,4.96157746342e-4,0.274089852827266,White majority,White,41.8,25820,Urban,1321.53345,0.741,0.725910147172734,128596,1.1763,224
Sussex,New Jersey,07871,+41.0466955,-074.6279890,11860,10.530444736,34037,2.0673662969e-4,0.141495926931622,White majority,White,42.3,20255,Rural,760.309898,0.775,0.858504073068378,130273,1.1791,217
Baltimore,Maryland,21217,+39.3084728,-076.6391545,176639,13.150613814,24005,0.005751188193113,0.90062922260562,POC majority,Black,35.8,34487,Urban,1905.0656769217387,0.374,0.09937077739438,29121,0.8317,225
Baltimore,Maryland,21218,+39.3301071,-076.6014512,161903,12.038190646,24005,0.004547368366648,0.739035132227883,POC majority,Black,34.9,49271,Urban,1980.8812486046559,0.468,0.260964867772117,45613,0.8363,225
Baltimore,Maryland,21219,+39.2274589,-076.4433049,17118,14.288133146,24005,4.42709319043e-4,0.149358226371062,White majority,White,45.3,9427,Urban,2057.9187440330966,0.556,0.850641773628938,76882,0.8128,225
